Adelphi University,,12/1,Rolling
Agnes Scott College,,11/15,3/1
Alaska Pacific University,,,Rolling
Albany College of Pharmacy and Health Sciences,11/1,,2/1
Albert A. List College of Jewish Studies,"11/15, 1/15",,2/15
Albion College,,12/1,Rolling
Albright College,,,Rolling
Alfred University,12/1,,8/1
Allegheny College,11/15,,2/15
Alma College,,,Rolling
American University,"11/15, 1/15",,1/15
Amherst College,11/15,,1/1
Anna Maria College,,,Rolling
Arcadia University,,,3/1
Assumption College,,"11/1, 12/15",2/15
Augsburg College,,,Rolling
Augustana College,,,Rolling
Augustana College,,,Rolling
Austin College,,"12/1, 1/15",3/1
Babson College,11/1,11/1,1/1
Baldwin-Wallace College,,,Rolling
Bard College,,11/1,1/1
Barnard College,11/15,,1/1
Bates College,"11/15, 1/1",,1/1
Belmont University,,,8/1
Beloit College,,"11/1, 12/1",1/15
Bennington College,"11/15, 1/3",12/1,1/3
Bentley University,11/1,11/1,1/7
Berry College,,,7/27
Binghamton University,,11/15,1/15
Birmingham-Southern College,,,Rolling
Blackburn College,,,Rolling
Boston College,,11/1,1/1
Boston University,11/1,,1/1
Bowdoin College,"11/15, 1/1",,1/1
Bradley University,,,Rolling
Brandeis University,"11/15, 1/1",,1/15
Brown University,11/1,,1/2
Bryant University,"11/15, 1/15",12/1,2/1
Bryn Mawr College,"11/15, 1/1",,1/15
Bucknell University,"11/15, 1/15",,1/15
Buffalo State College,11/1,,Rolling
Burlington College,,,Rolling
Butler University,,11/1,2/1
Caldwell College,,12/1,Rolling
California Institute of Technology,,11/1,1/3
California Lutheran University,,11/1,2/1
Calvin College,,,Rolling
Canisius College,,,Rolling
Carleton College,"11/15, 1/15",,1/15
Carnegie Mellon University,"11/1, 12/1",,1/1
Carroll College,,"11/1, 12/1",2/15
Carroll University,,,Rolling
Case Western Reserve University,,11/1,1/15
Castleton State College,,,Rolling
Catholic University of America,,11/15,2/15
Cazenovia College,,,Rolling
Cedar Crest College,,,Rolling
Centenary College,,12/15,Rolling
Centenary College of Louisiana,,12/1,2/15
Centre College,,12/1,1/15
Champlain College,"11/15, 1/15",,2/1
Chapman University,,11/1,1/15
Chatham University,,11/1,Rolling
University of California Los Angeles,,,11/30
